board_state,player_turn,best_move_index
         ,X,'0268'
        X,O,'4'
       OX,X,'245'
       X ,O,'68'
       XO,X,'4'
      O X,X,'025'
      OX ,X,'4'
      OXX,O,'03'
      X  ,O,'4'
      X O,X,'023'
      XO ,X,'034'
      XOX,O,'4'
      XXO,O,'25'
     O  X,X,'467'
     O X ,X,'48'
     O XX,O,'012346'
     OOXX,X,'4'
     OX  ,X,'048'
     OX X,O,'012347'
     OXOX,X,'04'
     OXX ,O,'8'
     OXXO,X,'01234'
     X   ,O,'28'
     X  O,X,'4'
     X O ,X,'48'
     X OX,O,'012346'
     X XO,O,'4'
     XO  ,X,'8'
     XO X,O,'012347'
     XOOX,X,'01234'
     XOX ,O,'0'
     XOXO,X,'4'
     XX O,O,'4'
     XXO ,O,'4'
     XXOO,X,'0134'
    O   X,X,'2567'
    O  X ,X,'68'
    O  XX,O,'6'
    O OXX,X,'2'
    O X  ,X,'0378'
    O X X,O,'7'
    O XOX,X,'1'
    O XX ,O,'8'
    O XXO,X,'0'
    OO XX,X,'6'
    OOX X,X,'37'
    OOXX ,X,'38'
    OX   ,X,'28'
    OX  X,O,'2'
    OX OX,X,'2'
    OX X ,O,'268'
    OX XO,X,'0'
    OXO X,X,'2'
    OXOX ,X,'2'
    OXOXX,O,'2'
    OXX  ,O,'178'
    OXX O,X,'0'
    OXXO ,X,'1'
    OXXOX,O,'1'
    OXXXO,O,'0'
    X    ,O,'0268'
    X   O,X,'123567'
    X  O ,X,'023568'
    X  OX,O,'012356'
    X  XO,O,'1'
    X O  ,X,'013578'
    X O X,O,'0'
    X OOX,X,'0235'
    X OX ,O,'1'
    X OXO,X,'135'
    X X O,O,'2'
    X XO ,O,'012358'
    X XOO,X,'0235'
    XO   ,X,'012678'
    XO  X,O,'012367'
    XO OX,X,'026'
    XO X ,O,'012368'
    XO XO,X,'12'
    XOO X,X,'017'
    XOOX ,X,'018'
    XOOXX,O,'0123'
    XOX  ,O,'012378'
    XOX O,X,'2'
    XOXO ,X,'0238'
    XOXOX,O,'0123'
    XOXXO,O,'2'
    XX  O,O,'3'
    XX O ,O,'012368'
    XX OO,X,'36'
    XXO  ,O,'3'
    XXO O,X,'37'
    XXOO ,X,'38'
    XXOOX,O,'0123'
    XXOXO,O,'0123'
    XXXOO,O,'0123'
   O    X,X,'246'
   O   X ,X,'46'
   O   XX,O,'6'
   O  OXX,X,'01245'
   O  X  ,X,'478'
   O  X X,O,'012457'
   O  XOX,X,'24'
   O  XX ,O,'012458'
   O  XXO,X,'4'
   O O XX,X,'46'
   O OX X,X,'47'
   O OXX ,X,'48'
   O X   ,X,'28'
   O X  X,O,'2'
   O X OX,X,'024'
   O X X ,O,'28'
   O X XO,X,'14'
   O XO X,X,'02'
   O XOX ,X,'0'
   O XOXX,O,'02'
   O XX  ,O,'28'
   O XX O,X,'24'
   O XXO ,X,'2'
   O XXOX,O,'2'
   O XXXO,O,'4'
   OO  XX,X,'56'
   OO X X,X,'57'
   OO XX ,X,'8'
   OOX  X,X,'267'
   OOX X ,X,'8'
   OOX XX,O,'0126'
   OOXOXX,X,'2'
   OOXX  ,X,'8'
   OOXX X,O,'0127'
   OOXXOX,X,'2'
   OOXXX ,O,'8'
   OOXXXO,X,'0'
   OX    ,X,'012678'
   OX   X,O,'012567'
   OX  OX,X,'0256'
   OX  X ,O,'012568'
   OX  XO,X,'126'
   OX O X,X,'0'
   OX OX ,X,'01'
   OX OXX,O,'0'
   OX X  ,O,'012578'
   OX X O,X,'127'
   OX XO ,X,'028'
   OX XOX,O,'0125'
   OX XXO,O,'0125'
   OXO  X,X,'01267'
   OXO X ,X,'01268'
   OXO XX,O,'0126'
   OXOOXX,X,'01'
   OXOX  ,X,'01278'
   OXOX X,O,'0127'
   OXOXOX,X,'012'
   OXOXX ,O,'0128'
   OXOXXO,X,'12'
   OXX   ,O,'06'
   OXX  O,X,'167'
   OXX O ,X,'28'
   OXX OX,O,'0126'
   OXX XO,O,'1'
   OXXO  ,X,'0'
   OXXO X,O,'0'
   OXXOOX,X,'02'
   OXXOX ,O,'0'
   OXXOXO,X,'1'
   OXXX O,O,'2'
   OXXXO ,O,'2'
   OXXXOO,X,'2'
   X     ,O,'06'
   X    O,X,'6'
   X   O ,X,'46'
   X   OX,O,'4'
   X   XO,O,'2'
   X  O  ,X,'4'
   X  O X,O,'4'
   X  OOX,X,'1245'
   X  OX ,O,'4'
   X  OXO,X,'4'
   X  X O,O,'012457'
   X  XO ,O,'012458'
   X  XOO,X,'01245'
   X O   ,X,'06'
   X O  X,O,'06'
   X O OX,X,'0'
   X O X ,O,'06'
   X O XO,X,'2'
   X OO X,X,'04'
   X OOX ,X,'14'
   X OOXX,O,'4'
   X OX  ,O,'0'
   X OX O,X,'02'
   X OXO ,X,'024'
   X OXOX,O,'0'
   X OXXO,O,'02'
   X X  O,O,'4'
   X X O ,O,'4'
   X X OO,X,'46'
   X XO  ,O,'4'
   X XO O,X,'4'
   X XOO ,X,'48'
   X XOOX,O,'0124'
   X XOXO,O,'4'
   X XXOO,O,'0124'
   XO    ,X,'06'
   XO   X,O,'167'
   XO  OX,X,'1'
   XO  X ,O,'068'
   XO  XO,X,'0'
   XO O X,X,'2'
   XO OX ,X,'2'
   XO OXX,O,'2'
   XO X  ,O,'0'
   XO X O,X,'0'
   XO XO ,X,'0'
   XO XOX,O,'1'
   XO XXO,O,'0'
   XOO  X,X,'6'
   XOO X ,X,'6'
   XOO XX,O,'6'
   XOOOXX,X,'2'
   XOOX  ,X,'078'
   XOOX X,O,'0127'
   XOOXOX,X,'0'
   XOOXX ,O,'0128'
   XOOXXO,X,'0'
   XOX   ,O,'012678'
   XOX  O,X,'01267'
   XOX O ,X,'01268'
   XOX OX,O,'12'
   XOX XO,O,'026'
   XOXO  ,X,'01278'
   XOXO X,O,'2'
   XOXOOX,X,'2'
   XOXOX ,O,'028'
   XOXOXO,X,'012'
   XOXX O,O,'0'
   XOXXO ,O,'01'
   XOXXOO,X,'0'
   XX   O,O,'5'
   XX  O ,O,'012568'
   XX  OO,X,'56'
   XX O  ,O,'5'
   XX O O,X,'57'
   XX OO ,X,'58'
   XX OOX,O,'0125'
   XX OXO,O,'0125'
   XX XOO,O,'0125'
   XXO   ,O,'28'
   XXO  O,X,'2'
   XXO O ,X,'06'
   XXO OX,O,'0'
   XXO XO,O,'2'
   XXOO  ,X,'178'
   XXOO X,O,'0'
   XXOOOX,X,'0'
   XXOOX ,O,'1'
   XXOOXO,X,'1'
   XXOX O,O,'2'
   XXOXO ,O,'0128'
   XXOXOO,X,'02'
  O     X,X,'067'
  O    X ,X,'8'
  O    XX,O,'013456'
  O   OXX,X,'4'
  O   X  ,X,'08'
  O   X X,O,'013457'
  O   XOX,X,'0'
  O   XX ,O,'8'
  O   XXO,X,'01345'
  O  O XX,X,'01346'
  O  OX X,X,'01347'
  O  OXX ,X,'8'
  O  X   ,X,'4'
  O  X  X,O,'01'
  O  X OX,X,'4'
  O  X X ,O,'0'
  O  X XO,X,'4'
  O  XO X,X,'4'
  O  XOX ,X,'4'
  O  XOXX,O,'0134'
  O  XX  ,O,'0'
  O  XX O,X,'3'
  O  XXO ,X,'3'
  O  XXOX,O,'1'
  O  XXXO,O,'0'
  O O  XX,X,'6'
  O O X X,X,'037'
  O O XX ,X,'038'
  O OX  X,X,'6'
  O OX X ,X,'6'
  O OX XX,O,'6'
  O OXX  ,X,'078'
  O OXX X,O,'7'
  O OXXOX,X,'1'
  O OXXX ,O,'8'
  O OXXXO,X,'0'
  O X    ,X,'013578'
  O X   X,O,'0'
  O X  OX,X,'035'
  O X  X ,O,'1'
  O X  XO,X,'15'
  O X O X,X,'01357'
  O X OX ,X,'01358'
  O X OXX,O,'0135'
  O X X  ,O,'08'
  O X X O,X,'5'
  O X XO ,X,'03'
  O X XOX,O,'0'
  O X XXO,O,'15'
  O XO  X,X,'0167'
  O XO X ,X,'18'
  O XO XX,O,'0136'
  O XOOXX,X,'013'
  O XOX  ,X,'8'
  O XOX X,O,'0137'
  O XOXOX,X,'0'
  O XOXX ,O,'8'
  O XX   ,O,'3'
  O XX  O,X,'137'
  O XX O ,X,'038'
  O XX OX,O,'0136'
  O XX XO,O,'0136'
  O XXO  ,X,'01378'
  O XXO X,O,'0137'
  O XXOOX,X,'013'
  O XXOX ,O,'0138'
  O XXOXO,X,'013'
  O XXX O,O,'3'
  O XXXO ,O,'3'
