Complexity,Loss,Equation
1,6.2726707,"2.8843536"
3,5.986918,"x9 + 2.608429"
5,5.5964537,"(x0 + x9) + 2.2868767"
7,5.3989964,"((x9 + x0) + 0.9153593) * 1.9061996"
9,5.3305645,"((x1 + 1.5779682) * (x9 + x0)) + 1.7447704"
11,5.2425404,"((((x9 * x13) + x9) + x0) + 1.0089834) * 1.731678"
13,5.1090145,"(((x0 + x1) * (x11 + (x10 * 2.085969))) + x9) + 2.1511924"
15,5.106314,"((x0 + (x1 * x11)) + 1.7161274) + ((x1 + 1.110084) * (x9 + x10))"
19,5.0038023,"x2 + (((x9 + (((x10 + -0.015138831) + (x11 + -0.09132407)) * (x1 + x0))) + 1.1074554) * 1.6685857)"
21,4.555012,"(((x11 + (x10 + x9)) * (x2 + (x1 + x0))) + ((1.9548278 * 0.7969239) + x0)) + (x9 + 0.06995772)"
25,4.5224385,"((((x8 + -0.14886783) * -0.38534304) + (((x11 + (x10 + x9)) * ((x2 + x1) + x0)) + x0)) + 1.5849204) + (x9 + 0.09704056)"
29,4.514098,"(((((((x11 + x10) + x9) * (x2 + (x1 + x0))) + ((1.9548278 * 0.7969239) + ((x8 + -0.14059599) * -0.31522602))) + x0) + x9) + 0.06995772) * 1.0208325"
75,4.507747,"((((((x2 + (x1 + 0.39038312)) * (x9 + x11)) + 1.351002) * 1.2255981) + (x9 + ((((x1 + 3.6228144) * -0.3941495) * (x0 + 0.41894072)) * ((((x9 + (x4 + -0.5148371)) * x9) + x2) + -0.9259875)))) + (((x10 * ((((((x4 + x5) + 0.79104346) + (x11 * x11)) + x4) * ((x0 + x2) + -1.3462721)) + 3.09827)) * (((x0 + (x5 + x2)) + 0.90181077) * 0.2540604)) + (x2 + -1.1826853))) + 0.24407619"
87,4.495359,"(((((x9 + x11) * (x2 + (x1 + 0.59786505))) + 1.3638796) * 1.1787564) + (((x9 + ((((x1 + 3.2773185) * -0.3681073) * (x0 + 0.3231826)) * ((((x5 + x4) * x9) + x9) + (x2 + -1.0847551)))) + (((x10 * (((x3 + (x5 + (((x4 * 0.43081412) + x4) + (x11 * x11)))) * ((x0 + x2) + -1.6340897)) + 3.18771)) * (((x5 + x0) + ((x4 * (((x4 + 0.7483444) * (x11 + x0)) + -0.89651513)) + x2)) + 0.37456873)) * 0.32184058)) + x2)) + -0.9041851"
89,4.4827886,"((((((((x9 + x11) * ((x2 + x1) + 0.60874414)) + 1.3626666) * 1.5456362) + (x9 + ((((x1 + 3.3076375) * -0.45100892) * (x0 + 0.23388134)) * ((((x5 + x4) * x9) + x9) + (x2 + -1.0881168))))) + ((x10 * ((((x3 + (x5 + ((x4 * (x4 + 0.48955202)) + (x11 * x11)))) * ((x0 + x2) + -1.6007464)) + 3.1578763) * ((x5 + x0) + ((x4 * (((x4 + 0.7617939) * (x11 + x0)) + -0.88606906)) + (x2 + 0.45188463))))) * 0.41273946)) + x2) + -0.9206294) * 0.75243706"
97,4.4788775,"((((((x2 + (x1 + 0.4358163)) * (x9 + x11)) + 1.3524935) * 1.2301102) + (x9 + ((((x1 + 3.4614093) * -0.3991067) * (x0 + 0.3729429)) * ((((x9 + (x4 + -0.24170311)) * x9) + x2) + -0.95758617)))) + (((x10 * ((((((x4 + x5) + 0.55259794) + (x11 * x11)) + x4) * ((x0 + x2) + -1.4381213)) + 3.3454282)) * (((x0 + ((x5 + (x4 * (((x15 * 0.73138225) * x4) + (((x14 * x11) + ((x4 + 0.8093422) * x11)) + (x0 + -0.8868888))))) + x2)) + 0.5122241) * 0.27715605)) + (x2 + -1.1776606))) + 0.24998"
