Complexity,Loss,Equation
1,5.844502,"3.4321747"
5,5.3892283,"(x0 * x0) + 2.840696"
7,5.3219256,"((x2 * x1) * -1.2337431) + 3.3112755"
9,4.8134313,"((x1 * (x0 + x2)) * -1.3240117) + 3.1707685"
11,4.811678,"(((x1 + 0.030862805) * (x0 + x2)) * -1.3226101) + 3.1737328"
13,4.137724,"(((x0 * (x1 + x2)) + -1.7457482) + (x2 * x1)) * -1.7103993"
15,4.121964,"(((x1 + x2) * x0) * -1.6231873) + (((x1 * x2) * -1.8655816) + 2.984862)"
17,3.871052,"((x2 * x1) + (((x8 * x8) + ((x2 + x1) * x0)) + -2.608814)) * -1.5203478"
19,3.8397846,"((((x8 * x8) + -2.7172098) + (x0 * (x2 + x1))) * -1.4370437) + ((x1 * x2) * -1.7661422)"
21,3.7642171,"((((x4 + x8) * x8) + (x0 * (x2 + x1))) * -1.1611468) + (((x1 * -1.6157702) * x2) + 3.7666578)"
23,3.662164,"(((x8 * (x8 + (x4 * 0.5096596))) + ((x2 + x1) * x0)) * -1.3955481) + (((x2 * -1.721327) * x1) + 3.8729124)"
25,3.3883452,"((((x1 + x2) * -1.6575127) * x0) + (((x2 * x1) * -1.8618274) + ((x8 * (x6 + x7)) + 3.3885572))) + (x6 * x7)"
27,3.3508606,"((((((x1 + x2) * (x0 * -1.2887347)) + ((x2 * x1) * -1.4387867)) + (x8 * (x6 + x7))) + 2.7070355) + (x6 * x7)) * 1.2942917"
33,3.2458344,"((x7 + x6) * x8) + (((x6 * x7) + ((((x0 * ((x1 * -1.9979185) + x0)) + ((x2 * x0) * -1.9351629)) + (x2 * (x1 * -2.240743))) * 0.77924794)) + 2.9658155)"
35,3.2441785,"((x1 * x0) * -1.6650237) + ((((x0 * ((x2 * -1.6084186) + 0.013320303)) + (x8 * (x7 + (x6 + (x8 * -0.7778104))))) + (((x1 * x2) * -1.8350613) + (x7 * x6))) + 3.869279)"
37,3.110569,"(((x7 * x6) + ((x2 * x0) * -1.4896363)) + (x1 * (x2 * -1.7412082))) + (((((x1 * -2.0010314) + x0) * x0) * 0.76517206) + ((x8 * ((x7 + x6) + (x8 * -0.7554701))) + 3.433436))"
39,3.0089371,"(x6 * x7) + ((((x2 * (x0 * -1.8886644)) + ((x0 * ((x1 * -1.9280055) + x0)) + (x2 * (x1 * -2.2587368)))) * 0.75149643) + ((((x7 + ((x8 + x4) * -0.6563263)) + x6) * x8) + 3.3669164))"
41,3.0055702,"((x8 * ((x7 + ((x4 + x8) * -0.6574363)) + x6)) + ((((x1 * (x2 * -2.248315)) + (((x0 + (x1 * -1.920191)) + -0.09810221) * x0)) + ((x2 * x0) * -1.8735435)) * 0.75454026)) + ((x6 * x7) + 3.3837986)"
43,2.9918017,"((x8 * ((x6 + ((x4 + x8) * -0.64851326)) + x7)) + ((x6 * x7) + 3.358109)) + (((x0 * ((x1 * -1.9419552) + x0)) + ((x1 * (x2 * -2.2465398)) + (((x7 * -0.12134029) + (x2 * x0)) * -1.8917866))) * 0.7523124)"
45,2.9811676,"((x8 * ((x7 + ((x4 + x8) * -0.6585245)) + x6)) + (1.1759447 * ((x6 * x7) + 2.8854327))) + (((((x0 * x2) + (x7 * -0.11752475)) * -1.8885918) + (((x0 + (-1.9487699 * x1)) * x0) + ((x1 * x2) * -2.257443))) * 0.74871254)"
47,2.9772682,"(((x6 * x7) + 2.8580046) * 1.1899787) + ((((((x0 * x2) + (x7 * -0.11799762)) * -1.8792887) + ((((x0 + -0.10892693) + (x1 * -1.9180843)) * x0) + ((x1 * x2) * -2.2570126))) * 0.752485) + (x8 * (x6 + (x7 + ((x4 + x8) * -0.6648031)))))"
49,2.9552934,"(((x6 * x7) + 3.358109) + (((x0 * ((x1 * -1.9419552) + x0)) + (((x1 * x2) * -2.2465398) + ((x0 * -0.12134029) + (x2 * (x0 * -1.8917866))))) * 0.7523124)) + ((x8 * ((((x4 + x8) * -0.64851326) + x7) + x6)) + ((x7 * x4) * -0.45864075))"
51,2.9505098,"((((x6 * x7) + 3.4177246) + ((((((x1 * x2) * -2.2334316) + (x0 * -0.1160339)) + (x2 * (x0 * -1.8671368))) + (x0 * ((x1 * -1.8715329) + x0))) * 0.75049925)) + (x8 * (((x4 + x8) * -0.7209412) + (x7 + x6)))) + ((x7 * (x4 * 0.6802159)) * -0.6204398)"
63,2.8128648,"((((x8 * -0.78257596) + (x6 + (x7 + ((x4 + (x5 * -0.09115249)) * -1.0406375)))) * x8) + (x7 * x6)) + ((x2 * (x1 * -1.689662)) + (((((((((x8 * x0) * x4) + (x2 * -1.5296992)) + ((x0 + x0) * 0.37509456)) + (x7 * 0.13197008)) * x0) + 0.75960326) + ((((x1 + 0.0315385) * -1.5467569) * x0) * 0.97792864)) + 2.7258787))"
