Complexity,Loss,Equation
1,5.8445024,"3.4321308"
5,5.402493,"(x0 * x0) + 2.7254975"
7,5.3219256,"((x1 * x2) * -1.23397) + 3.3110356"
9,5.1943545,"((x2 + x1) * (x0 * -1.1318129)) + 3.2481284"
11,4.917807,"(x2 * (x1 * -1.1718954)) + ((x0 * x0) + 2.7255745)"
13,4.699118,"((x0 * x0) + 2.7254975) + ((x0 + x1) * (x2 * -1.1719733))"
15,4.1219645,"(((x2 + x1) * x0) * -1.623118) + (((x1 * x2) * -1.8655969) + 2.9848819)"
17,3.9482088,"((x1 * x2) * -1.7397884) + ((x0 * (x0 + ((x1 + x2) * -1.4590155))) + 2.4323127)"
19,3.9449818,"((((x0 * 0.88049746) + ((x1 + x2) * -1.4782082)) * x0) + 2.4983828) + ((x1 * x2) * -1.7540526)"
21,3.9376082,"(x0 * ((x0 * 0.87889355) + ((x1 + x2) * -1.4780366))) + ((x1 * (-0.14395224 + (x2 * -1.7549075))) + 2.5113058)"
23,3.9361894,"((x0 + -0.021542959) * ((x0 * 0.87832487) + ((x2 + x1) * -1.4781506))) + ((x1 * ((x2 + 0.082330465) * -1.75483)) + 2.5117233)"
39,3.9179773,"(((x2 * ((x1 * (((x2 + (x5 + -0.12994854)) * x0) + 2.5650964)) * -0.62438893)) + ((-1.4175646 * (x0 * (x2 + (-0.04734168 + (x1 * 0.82570386))))) + 2.7359622)) * 1.2024441) + (x7 * ((x7 * -0.60387856) + 0.24959737))"
45,3.9116933,"(((x2 * ((x1 * (((x2 + x5) * x0) + 2.5650964)) * -0.62438893)) + (((((x2 * -2.5546393) + ((x2 * 2.4279673) + -1.4175646)) * x0) * (x2 + ((-0.04734168 + x1) * 0.82570386))) + 2.7359622)) * 1.2024441) + (x7 * ((x7 * -0.60387856) + 0.24959737))"
47,3.699515,"(x1 + x1) + ((((((x1 + x6) + (x0 * (x1 * 1.5260825))) * -1.0217011) + (x5 + (x6 + (((x4 + x8) * x8) * -0.8804436)))) + 4.0384393) + ((x1 + (((x1 + (x1 + (x0 * 1.618367))) * x2) + (x5 + 0.46863243))) * -0.97660285))"
49,3.674065,"(x1 + x1) + ((x5 + ((((x4 + x8) * x8) * -0.8804436) + x6)) + (4.0384393 + ((((x1 + x6) + ((x0 * x1) * 1.5260825)) * -1.0217011) + ((x1 + (((x5 + (((x0 * 1.618367) + (x1 + x1)) * x2)) + 0.5624691) * 0.83317006)) * -1.0941434))))"
51,3.668802,"((x5 + (((x1 + x6) + ((x0 * x1) * 1.513008)) * -1.0188675)) + (x1 + ((x6 + (((x4 + x8) * x8) * -0.8846938)) + 4.041012))) + ((x1 + (((x1 + ((((((x0 * 1.6601274) + x1) + x1) * x2) + 0.56278485) * 0.88390505)) + x5) * -1.1208385)) * 0.883522)"
53,3.5873563,"x1 + ((((x1 + ((x1 + ((x0 * 1.6000221) + x1)) * (x2 + 0.13120936))) * -0.9855257) + (x1 + ((((x6 + 0.45553756) + ((x1 * x0) * 1.2610286)) + x1) * -0.94106895))) + ((x6 * ((x6 * -1.8079128) + x6)) + ((((x8 * -0.91204715) * (x4 + x8)) + x6) + 4.6431513)))"
57,3.4868755,"(x5 + (((x1 + (((x1 * (x0 * 1.4641359)) + (x6 + x1)) * -1.015943)) + ((x1 + ((x6 * (x6 + (x6 * -1.857516))) + (((x1 + (((((x0 * 1.6429181) + x1) + x1) * (x2 + 0.08092064)) * 0.87201124)) + x5) * -0.9825431))) + ((x4 + x8) * (x8 * -0.8869189)))) + x6)) + 4.0786433"
59,3.486872,"(x1 + ((((((x1 * (x0 * 1.4682597)) + x6) + x1) + 0.4981014) * -1.014294) + ((x1 + (((x1 + ((((x0 * 1.642804) + (x1 + x1)) * (x2 + 0.08102444)) * 0.87115324)) + x5) * -0.98364055)) + (((x6 * ((x6 * -1.8581445) + x6)) + ((x4 + x8) * (x8 * -0.88651615))) + x6)))) + (x5 + 4.5838447)"
67,3.3937604,"(x5 + (x1 + ((((x1 + (((x2 * ((x1 + x1) + (x0 * 1.7048938))) + -0.37491238) * 1.1273094)) + x5) * -1.0065855) + ((((x1 + (((x1 + x6) + (x0 * (x1 * 1.7300365))) * -1.1849582)) + (x8 * ((x4 + x8) * -1.1064857))) + 4.6487064) + ((x6 * ((x7 * 1.3067288) + (x8 + (x1 * ((x0 + 0.91991746) * 0.26241094))))) + x6))))) * 0.73337966"
69,3.2334359,"((((x0 * (x1 + (x0 * -0.74563366))) + x1) + x6) * -1.150659) + ((((x8 * ((x4 + x8) * -0.9191821)) + ((x1 + ((x1 + ((x7 * -1.06571) + (x6 + -0.06484095))) * -0.6658367)) * x6)) + (x5 + (x6 + ((x1 + x1) + 3.0707538)))) + ((((x5 + ((x1 + ((x0 * 1.587108) + x1)) * ((x2 * 0.8416548) + 0.07449139))) + x1) * -0.9044365) + 0.5788939))"
71,3.233027,"(((((x0 * (x1 + (x0 * -0.74776566))) + x1) + x6) * -1.1509515) + ((((x8 * (x4 + x8)) * -0.9026973) + ((x1 + ((x1 + ((x7 * -1.0069867) + (x6 + -0.06257498))) * -0.6819148)) * x6)) + ((x5 + (x6 + ((x1 + x1) + 3.037352))) + ((((x5 + ((x1 + ((x0 * 1.5762991) + x1)) * ((x2 * 0.84498596) + 0.06924505))) + x1) * -0.90694785) + 0.5456553)))) + 0.055727504"
75,3.197613,"((((x0 * (x1 + (x0 * -0.69581807))) + (x1 + x6)) * -1.1248852) + ((((((x8 * (x4 + x8)) * -0.8457857) + (((x1 + ((((x1 + (x3 + ((x7 * -1.3646263) + 0.4831038))) + x6) + -0.54121906) * -0.59688073)) * x6) + x5)) + ((x6 + 3.053994) + x1)) + x1) + ((((x1 + x5) + ((x1 + ((x0 * 1.6862254) + x1)) * ((x2 * 0.83219814) + 0.09473512))) * -0.9086827) + -0.07130528))) + 0.6332827"
77,3.1153374,"(((x0 * (x1 + (x0 * -0.69513685))) + (x1 + x6)) * -1.1271597) + (((((x8 * (x4 + x8)) * -0.8416272) + ((((x1 + ((((x1 + ((x3 + (x8 * -0.81054366)) + ((x7 * -1.3797425) + 0.4813973))) + x6) + -0.5430015) * -0.59267837)) * x6) + x5) + ((x6 + 3.3678787) + x1))) + x1) + ((((x1 + x5) + ((x1 + ((x0 * 1.6816354) + x1)) * ((x2 * 0.83380836) + 0.09404692))) * -0.90784246) + 0.24262382))"
79,3.1151445,"(((((x0 * (x1 + (x0 * -0.6810446))) + (x1 + x6)) * -1.1324568) + ((((x5 + ((x8 * -0.84563345) * (x4 + x8))) + ((x1 + ((x3 + ((((x8 * -0.7943947) + (x7 * -1.3380922)) + (x6 + -0.031096132)) + x1)) * -0.6014296)) * x6)) + (x6 * 1.0276041)) + ((x1 + 3.0730867) + x1))) + -0.29251426) + ((((x5 + x1) + (((x0 * 1.6766154) + (x1 + x1)) * ((x2 + 0.11070265) * 0.8384286))) * -0.90591973) + 0.8425959)"
87,3.0861137,"x1 + (((x1 + ((x0 * ((((x0 * -2.010238) + (x1 + x3)) * 0.2764048) + x1)) + x6)) * -1.1182847) + ((((((x1 + ((((((x7 * -1.9024154) + x3) + (((x8 + 1.1577126) * -1.137296) + 1.1595541)) * 0.6365894) + ((x1 * 1.0635326) + (x6 + 0.4608303))) * -0.66424304)) + 0.24404214) * x6) + x5) + x6) + (((x4 + x8) * (x8 * -0.7790139)) + (x1 + (((x1 + ((((x1 + x1) + (x0 * 1.7156934)) * (x2 * 0.77945566)) + x5)) * -1.0036666) + 3.6703799)))))"
93,3.0789032,"(((x1 + (((x1 + (x0 * (((((x0 * -1.9470869) + x3) + x1) * 0.28057438) + x1))) + x6) * -1.0749642)) + (((x4 + x8) * (x8 * -0.81001204)) + ((((x6 * 0.46863142) + x1) + ((((x1 + (x3 + ((x7 * -1.9322078) + (((x8 + 1.2623714) * -1.2816044) + 1.0773506)))) * 0.38054112) + ((x1 * 0.29355112) + (x6 + 0.24625236))) * -1.0943681)) * x6))) + (x5 + x6)) + (x1 + (((x1 + ((((x1 + x1) + (x0 * 1.6849152)) * ((x2 + 0.036117014) * 0.8047811)) + x5)) * -0.9945982) + 3.6772823))"
95,3.0586534,"((x1 + ((x1 + ((x0 * (x1 + (((x0 * -2.020174) + ((x3 + x1) + x6)) * 0.31305745))) + x6)) * -1.0259242)) + ((((x4 + x8) * x8) * -0.8192725) + (((x1 + (((((x1 + x3) + (((x7 * -1.8400223) + 1.0397973) + ((x8 + 1.3055589) * -0.9554863))) * 0.42511684) + ((x1 * 0.25284487) + (x6 + 0.1523222))) * -1.0912791)) + (x6 * 0.4558317)) * x6))) + ((x5 + x6) + (x1 + (((x1 + ((((x1 + x1) + (x0 * 1.7689731)) * ((x2 + 0.08790124) * 0.80998)) + x5)) * -0.97989774) + 3.6145978)))"
