Complexity,Loss,Equation
1,5.844502,"3.4329832"
4,5.618775,"cos(x8) + 2.7137864"
5,5.3426456,"cos(cos(x0)) * 4.7076964"
6,5.325508,"cos(x4 + x8) + 2.8897586"
7,5.146715,"cos(x8 * cos(x0)) * 4.099921"
8,5.1149535,"cos((x0 + x2) + x1) + 2.9349737"
9,5.036661,"(x0 * x0) + exp(cos(x8) + 0.29494333)"
10,4.867266,"cos(x6) + ((x0 * x0) + exp(cos(x8)))"
11,4.608175,"exp(sin(cos((x2 + x1) + x0)) + cos(x8))"
12,4.466097,"exp(sin(sin(cos((x2 + x1) + x0))) + cos(x8))"
13,4.387089,"exp(cos(cos(x0)) + sin(sin(cos(x2 + (x0 + x1)))))"
14,4.2993307,"(cos(x2 + (x1 + x0)) + ((x0 * x0) + 0.76486766)) * 1.8513215"
15,3.9934614,"((cos(x8) + cos((x1 + x0) + x2)) + (x0 * x0)) * 1.8993596"
16,3.9356925,"((cos(x2 + (x1 + x0)) + 0.8441124) * exp(cos(x8))) + (x0 * x0)"
17,3.7975326,"(x0 * x0) + ((cos((x2 + x0) + x1) + cos(x6)) * exp(cos(x8)))"
18,3.7483537,"(exp(cos(x8)) * (cos((x2 + x0) + x1) + cos(sin(x6)))) + (x0 * x0)"
19,3.672723,"(x0 * (x0 * 1.4593968)) + ((cos((x0 + x2) + x1) + cos(x6)) * exp(cos(x8)))"
20,3.6503444,"((cos(x6) + sin(cos((x0 + x1) + x2))) * exp(cos(x8))) + (x0 * (x0 * 1.57922))"
