Complexity,Loss,Equation
1,5.844502,"3.433197"
4,5.618775,"cos(x8) + 2.7135887"
5,5.3426456,"cos(cos(x0)) * 4.7072797"
6,5.325508,"cos(x8 + x4) + 2.889742"
8,5.229038,"(cos(x4 + x8) * 1.6553802) + 2.5340824"
9,5.000145,"(sin(exp(cos(x0))) + cos(x8)) * 2.341945"
11,4.659026,"cos((cos(x0) * (x8 + x4)) * 0.76643246) * 4.01905"
15,4.597281,"cos((((cos(x0) * (x8 + x4)) * 0.8754613) * x8) + -0.19042763) * 4.01905"
16,4.580838,"(cos(((x4 * cos(x0)) + x8) * cos(x0)) * 2.728961) + (0.889046 * 1.4917923)"
17,4.5808353,"(cos(((sin(x4) * cos(x0)) + x8) * cos(x0)) * 2.728961) + (0.889046 * 1.4917923)"
18,4.5344734,"(cos(((x8 + x4) * cos(x0 * exp(cos(x1)))) * cos(x0)) * 2.7872248) + 1.2999673"
