Complexity,Loss,Equation
1,5.844502,"3.4329834"
4,5.618819,"cos(x8) + 2.7071772"
5,5.397196,"2.7514231 + (x0 * x0)"
6,5.325509,"cos(x4 + x8) + 2.8896837"
8,5.205009,"cos(x8 * (x8 + x4)) + 2.78437"
9,5.0632606,"exp(cos((x4 * x8) + 0.40772167) + 0.4340935)"
12,4.969852,"cos(x6) + exp(cos(sin(exp(x0)) * (x4 + x8)))"
13,4.8576894,"cos(x6) + (cos(((x8 * x4) + 0.34266615) * 1.0062723) * 3.413929)"
15,4.777073,"(cos(x6) + cos(((x4 * (x8 * 0.47883692)) + 0.16346863) * 2.6091876)) * 2.407101"
16,4.729243,"cos(x6) + exp(cos((x8 + x4) * sin(exp(x0) * x8)) * 1.0757325)"
17,4.537855,"(cos(x6 * x4) + cos((x8 + x4) * sin(exp(x0) * x8))) * 2.0896604"
18,4.483682,"cos(x6 * x4) + (cos((x8 + x4) * sin(exp(x0) * x8)) * exp(1.0757325))"
