Complexity,Loss,Equation
1,5.844503,"3.4322014"
4,5.618775,"cos(x8) + 2.7137856"
5,5.38923,"(x0 * x0) + 2.8406858"
7,5.3419867,"((x0 * x0) + 1.7877882) * 1.4423301"
10,5.2431035,"(sin(exp(x4)) + exp(cos(x6))) + cos(x8)"
11,5.130939,"exp(0.43164846 + cos(cos(x0) * -1.3436613)) + cos(x8)"
13,5.055252,"(cos(x8) + 0.8945802) + exp(cos((2.0023594 * exp(x0)) * x6))"
18,4.919472,"cos((x4 * exp(cos(x0))) * (x6 * cos(x0))) + (exp(cos(sin(x8))) + 0.5635776)"
20,4.8187184,"(cos(x8) + ((cos(x8 * x7) + 0.08396019) * exp(cos((exp(x0) * x6) * 2.0023594)))) + 0.8945802"
23,4.6938286,"((cos((x8 * x7) + -0.13379662) * (exp(cos((exp(x0) * 1.990602) * x6)) + cos(x8))) + cos(x4)) + 0.4780353"
25,4.545816,"(cos((x7 + -0.09616817) * x8) * exp(cos(cos(x0 * 1.5707916) * x6))) + (cos(x4 + (x8 + -0.081085876)) + cos(x6))"
91,4.301856,"((exp(cos(((x7 * sin(x4)) + 0.45869794) * (sin(exp(x0)) * -2.0568776))) + (((((((x2 * (((exp((x0 + (x0 * -1.3458759)) * x0) + x7) * -0.36272815) * exp(sin(x0)))) * 1.0140828) * x1) + (((x8 + -0.0866904) * -1.4467196) * sin(exp(x0) * x4))) * cos((x2 * ((exp(x0) * -0.086807206) + (x8 + 0.12588899))) + 0.5374647)) + cos(sin(exp(x0) * -1.846262) * sin(cos(exp(x7 + (((x8 + -0.5928531) + x8) * x7)) + 0.0008949414)))) + -0.80433387)) * 1.6979299) + -0.491817"
93,4.2973475,"((exp(cos((((x7 * sin(x4)) + 0.44458967) * sin(exp(x0))) * 1.5633887)) + (((((((exp(sin(x0)) * (x2 * ((exp((x0 + (x0 * -1.1798854)) * x0) + x7) * -0.32677096))) * 0.96169835) * x1) + (((x8 + -0.08365459) * -1.575352) * (sin(exp(x0) * x4) * 0.78709024))) * cos((x2 * ((exp(x0) * -0.16329718) + (x8 + 0.18349984))) + 0.53611666)) + cos(sin(exp(x0) * -1.7974406) * sin(cos(exp(x7 + (x7 * ((x8 + -0.70667416) + x8))) + 0.10686996)))) + -1.0917368)) * 1.8778882) + -0.66777885"
185,4.2570987,"((cos(x6 * -1.3314327) + sin((((exp(cos(x8 + -0.0032391408)) + (((x0 * ((exp(cos(x8) + -0.04107392) + ((x0 * exp((cos((sin(cos(x1 * ((exp(cos(x8 + -0.0015701554)) + 0.5512705) + cos(sin(((x8 * x6) + (x5 * 0.4910722)) + x0) * 0.18896183)))) + 1.1413598) * (x0 * 1.0158042)) + 0.8699348) * 0.22918569)) + 1.3676673)) + 2.5585608)) + cos(x7)) + -0.2771513)) + cos(x6 + -0.021946121)) + (x0 * cos((((exp(cos(x8 + 0.09171572)) + 1.3800222) + ((x6 + cos((x6 + 1.2739192) * -1.4352546)) + ((x5 * cos((((x0 * (cos((cos((x8 + 1.7827562) + ((cos(exp(sin(x6))) + (x0 * ((x0 * 0.4878084) + cos(exp(cos(x8) + -0.09678448))))) + -0.10163418)) * x0) + 0.36999238) + cos((x0 * (cos(x7) + (cos(cos(sin(x1 * cos((x8 * x6) + -0.04226927)) + -0.7187469)) + 2.6039052))) + sin(exp(x6))))) + (x6 * 0.21821919)) + 0.54286796) + exp(cos(x8 + 0.039176635)))) + 1.093133))) * x0) + 2.8199663))) + 1.9878796)) + 3.051781) + (cos(x8 + (x4 * 1.1445253)) + -0.564052)"
