Complexity,Loss,Equation
1,5.844502,"3.4329832"
4,5.618775,"cos(x8) + 2.7137833"
5,5.38923,"(x0 * x0) + 2.8406987"
6,5.3419843,"(cos(x0) * -3.1375365) + 5.7164855"
7,5.187019,"2.38817 * (cos(x6) + cos(x8))"
8,5.1720395,"(x0 * x0) + (cos(x8) + 2.1222804)"
10,4.9034233,"((x0 * x0) + cos(x8 + x4)) + 2.298097"
11,4.876714,"(cos(x6) + 1.6763269) * (cos(cos(x0)) + cos(x8))"
13,4.8683405,"(cos(cos(x0)) + cos(x8)) * (cos(x6 * x4) + 1.441915)"
15,4.7518907,"((cos(cos(x0) * 1.4072479) + (cos(x6) + -0.50385576)) + cos(x8)) * 2.38817"
19,4.734044,"-2.807102 + ((cos(x8) + (cos(cos(x0)) + 0.5340653)) * (2.3805094 + cos(0.12766808 + (x6 * x4))))"
21,4.5755296,"(((cos(cos(((x1 * x0) + -0.5913967) * x0)) + cos(x8)) + 0.5340653) * (cos(x6) + 2.5081775)) + -2.807102"
23,4.542139,"((cos(x8) + (cos(cos(x0 * ((x1 * x0) + -0.5913967))) + 0.5340653)) * (cos(x6 * x4) + 2.3805094)) + -2.807102"
24,4.255317,"((cos(((x1 * 0.5816056) * (x0 + (x2 * 1.2094138))) + 1.0229133) + (1.272085 + cos(x8))) * (cos(x6) + 1.9699658)) + -3.6259778"
29,4.2466965,"((cos(x6 * cos(x0 * 0.12070824)) + 1.9699658) * (cos(((x1 * 0.5816056) * (x0 + (x2 * 1.2094138))) + 1.0229133) + (cos(x8) + 1.272085))) + -3.6259778"
31,4.0006504,"((cos(x6 * cos(x0 * (x1 * 1.200557))) + 1.7485849) * (cos(((x1 * 0.6811082) * (x0 + (x2 * 1.1628749))) + 1.0669258) + (cos(x8) + 1.6381305))) + -3.8636453"
34,3.9891083,"((cos(x6 * cos(x0 * (x1 * (1.2897005 + cos(x2))))) + 1.9699658) * ((cos(1.0229133 + ((x1 * 0.5816056) * (x0 + (x2 * 1.2094138)))) + 1.272085) + cos(x8))) + -3.6259778"
35,3.9787643,"((cos(x6 * cos(x0 * (x1 * (1.2897005 + (x7 * x4))))) + 1.9699658) * ((cos(1.0229133 + ((x1 * 0.5816056) * (x0 + (x2 * 1.2094138)))) + 1.272085) + cos(x8))) + -3.6259778"
49,3.9177835,"((cos(sin(cos(x0))) + 0.9787067) * (cos((cos((cos(x8) + (x8 * x4)) + (x0 * x4)) + 2.4693267) * (((cos(cos((x1 + x0) * x0)) + 3.1691594) * x8) * ((x0 * x2) + 1.0355561))) + (cos(x6) + 0.651196))) + sin(x8 * x7)"
50,3.9028811,"(x8 * sin(x7)) + (((cos(cos(x0)) + 0.770557) * 1.1251372) * (cos(x6) + (cos((cos(((x8 * x4) + cos(x8)) + (x0 * x4)) + 2.7114902) * (((cos(cos(x0 * (x1 + x0))) + 2.8617415) * x8) * ((x0 * x2) + 1.029736))) + 0.78414375)))"
51,3.8288472,"(x8 * sin(x7)) + ((cos(cos(sin(x0))) + 0.3346009) * (((cos((cos((cos(x8) + (x0 * x4)) + (x4 * x8)) + 2.4161937) * ((((x0 * x2) + 1.0414726) * (cos(cos((x1 + x0) * x0)) + 3.223765)) * x8)) + cos(x6)) * 1.7228464) + 1.1041677))"
55,3.8186862,"sin(x7 * x8) + ((cos(cos(sin(x0) * (x0 + (x1 + 1.8905485)))) + 0.57491755) * ((cos(x6) + (cos((cos(cos(x1 + x0)) + 3.20803) * (x8 * (((x0 * x2) + 0.97492415) * (cos(((x4 * x0) + (x4 * x8)) + cos(x8)) + 2.5039537)))) + 0.5897981)) * 1.4000025))"
57,3.7497456,"(x7 * sin(x8)) + ((cos(cos(sin(x0) * (x0 + (x1 + 1.8912687)))) + 0.53106964) * ((cos(x6) + (cos((((cos(cos((x1 + x0) * x0)) + 2.8404198) * x8) * ((x0 * x2) + 1.0090324)) * (cos((x4 * x0) + ((x4 * x8) + cos(x8))) + 2.7974885)) + 0.63357437)) * 1.4112262))"
67,3.7461777,"((cos(cos(cos(x7)) + (cos(cos(cos(x2))) * ((x1 * x2) + 1.408636))) + ((((cos(cos(sin(x0) * ((x1 + 1.8543634) + x0))) + 0.5359753) * 2.6964178) + cos((cos(cos(x0)) + 1.9961872) * ((cos((x2 * x0) + (((x4 * x8) + 0.0025860593) + cos(x8))) + 1.4343661) * (x8 * ((x0 * x2) + 1.1607777))))) + -2.4095044)) * 2.2058399) + 0.86909515"
68,3.4808705,"((cos(cos(cos(x7)) + (cos(cos(cos(x2))) * ((x1 * x2) + 1.1095808))) + ((((cos(cos(sin(x0) * (x1 + (x0 + 1.9181577)))) + 0.49072635) * 2.6908123) + sin(cos((cos(cos(x0)) + 2.0078788) * ((cos((x2 * x0) + (((x4 * x8) + 0.077347934) + cos(x8))) + 1.5040075) * (x8 * ((x0 * x2) + 1.1201917)))))) + -2.4248257)) * 1.9706521) + 0.8619573"
72,3.4509978,"cos(x2) + (((((cos(cos(sin(x0) * ((x1 + 1.9101291) + x0))) + 0.6221406) * 2.4190805) + ((sin(cos(((((x2 * x0) + 1.2351322) * x8) * ((x2 * x0) + (cos(cos(x8) + ((x4 * x8) + -0.0268423)) + 1.167413))) * (cos(cos(sin(x0))) + 2.2415514))) + cos(cos(cos(x7)) + (((x2 * x1) + 1.4062535) * cos(cos(cos(x2)))))) + -2.373755)) * 2.0854902) + 0.2939521)"
87,3.4381893,"((sin(cos((cos(cos(sin(x0))) + 2.097637) * (((cos(cos(cos(cos(x0)))) + 0.64013046) + cos((cos(x8) + (x0 * x2)) + (x4 * (x8 + -0.0029762096)))) * (((x2 * x0) + 1.1593784) * x8)))) + (cos(cos(cos(x7) + cos(((x2 * x1) + cos(x2)) + 0.7388086)) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.86574167))) + (((cos(cos(sin(x0) * ((x0 + x1) + 1.8926452))) + 0.40769437) * 2.7833972) + -2.3925517))) * 2.0565498) + cos(x2)"
94,3.399253,"((sin(cos(((cos((cos(x8) + (x0 * x3)) + ((x4 * x8) + 0.09792024)) + 1.5863518) * (((x0 * x2) + 0.88229465) * x8)) * 3.155873)) + (cos(cos(cos(x7) + cos(cos(x2) + ((x2 * x1) + 0.80775493))) + cos(((x2 * x1) + -0.88600516) * cos(cos(cos(x6))))) + (((cos(cos(sin(x0) * (x0 + (x1 + 1.9005649)))) + 0.43206596) * 2.8483298) + -2.37483))) * 1.8912067) + (cos(sin(x2 + x0)) * cos(((x2 * (x0 + x8)) + 1.4476538) * (x2 * (x0 + x8))))"
99,3.304865,"((sin(cos(((cos(sin(cos(x0))) + 2.0401402) * (cos((cos(x8) + (x0 * x2)) + ((x4 * x8) + 0.014299727)) + 1.3893764)) * (((x0 * x2) + 1.1429818) * x8))) + (cos(cos(cos(x7) + cos(cos(x2) + ((x2 * x1) + 0.7458934))) + cos(((x2 * x1) + -0.9640279) * cos(cos(cos(x6))))) + (((cos(cos(sin(x0) * (x0 + (x1 + 1.9127983)))) + 0.41572204) * 2.747442) + -2.3889208))) * 2.0921714) + (cos(sin(x2 + x0)) * cos(((x2 * (x0 + x8)) + 1.476945) * (x2 * (x0 + x8))))"
113,3.2401977,"cos((((x0 + x8) * ((cos(cos(x2)) + (((x2 * (x0 + (x2 * 0.7192749))) * ((0.9297163 + cos(cos(sin(x8) * 0.20340587))) + ((((x4 * x8) + (x0 * x2)) + cos(x8 + -0.09175587)) + 0.92570823))) + 1.7014765)) * x2)) + cos(sin(x3) * -1.8403363)) * 0.28514725) + (2.1887608 * (sin(cos(((cos(cos(x0)) + 2.162229) * ((x0 * x2) + 1.1228969)) * ((cos((x4 * x8) + cos(x8)) + 1.3847278) * x8))) + (cos(cos(cos(x7)) + (cos(cos(cos(x2))) * ((x2 * x1) + 1.3447565))) + (((cos(cos(sin(x0) * ((x0 + x1) + 1.9045923))) + 0.46523315) * 2.8237514) + -2.4413514))))"
123,3.1761048,"(2.0565498 * (sin(cos((cos(cos(sin(x0))) + 2.097637) * (((cos(cos(cos(cos(x0)))) + 0.64013046) + cos((x4 * (x8 + -0.0029762096)) + (cos(x8) + (x0 * x2)))) * (((x2 * x0) + 1.1593784) * x8)))) + (cos(cos(cos(x7) + cos(((x2 * x1) + cos(x2)) + 0.7388086)) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.86574167))) + (((cos(cos(sin(x0) * ((x0 + x1) + 1.8926452))) + 0.40769437) * 2.7833972) + -2.3925517)))) + cos((cos(sin(x2 + x0)) * (((x2 * (x0 + (x8 * 0.12825502))) * ((((x8 * -0.4896034) + cos(x2)) + cos(0.28441957)) + cos(x0))) + (cos(x4) + 1.505326))) * (x2 * (x0 + x8)))"
131,3.1679091,"(2.0565498 * (sin(cos(((cos(cos(sin(x0))) + 2.097637) * ((cos(cos(cos(cos(x0)))) + 0.64013046) + cos((cos(x8) + ((x0 * x2) + (x4 * x8))) + -0.0029762096))) * (((x2 * x0) + 1.1593784) * x8))) + (cos(cos(cos(x7) + cos(((x2 * x1) + cos(x2)) + 0.7388086)) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.86574167))) + (((cos(cos(sin(x0) * ((x0 + x1) + 1.8926452))) + 0.40769437) * 2.7833972) + -2.3925517)))) + cos(((cos(sin(x2 + x0)) * ((x2 * ((x0 + (x8 * 0.12825502)) * ((cos(0.28441957) + ((x8 * -0.4896034) + cos(x2))) + ((x8 * 0.058858242) + cos(x0 * cos(cos(-0.86574167))))))) + (cos(x4) + 1.505326))) * x2) * (x0 + x8))"
